cancer_type,gender,age_at_diagnosis,n,n_predicted
Cervix,F,84,36,37.870232614764824
Oropharynx,F,10,0,-0.007058770356483531
Oropharynx,F,11,0,-0.008511781228101091
Oropharynx,F,12,0,-0.00996246163298266
Oropharynx,F,13,0,-0.011406683865458097
Oropharynx,F,14,0,-0.012836720680356675
Oropharynx,F,15,0,-0.01424297367946343
Oropharynx,F,16,0,-0.015611489084332944
Oropharynx,F,17,0,-0.016924937383495015
Oropharynx,F,18,0,-0.018160408987115184
Oropharynx,F,19,0,-0.019292205160353296
Oropharynx,F,20,0,-0.020288445130386454
Oropharynx,F,21,0,-0.021112671705240216
Oropharynx,F,22,0,-0.021721214089350672
Oropharynx,F,23,0,-0.022066932524010208
Oropharynx,F,24,0,-0.02209526537477494
Oropharynx,F,25,0,-0.021746413915860602
Oropharynx,F,26,0,-0.02095277767133853
Oropharynx,F,27,0,-0.019643201947846356
Oropharynx,F,28,0,-0.017739329095923396
Oropharynx,F,29,0,-0.015158134787381861
Oropharynx,F,30,0,-0.011810435906854643
Oropharynx,F,31,0,-0.007604610612239249
Oropharynx,F,32,0,-0.0024448806564302287
Oropharynx,F,33,0,0.0037663500104734827
Oropharynx,F,34,0,0.011127253222816784
Oropharynx,F,35,0,0.01973528124462073
Oropharynx,F,36,0,0.029684325633026892
Oropharynx,F,37,0,0.04106361908104033
Oropharynx,F,38,0,0.05395135152970992
Oropharynx,F,39,0,0.06841880130046023
Oropharynx,F,40,0,0.08451921834552248
Oropharynx,F,41,0,0.10228966558543699
Oropharynx,F,42,1,0.12173639918261638
Oropharynx,F,43,0,0.1428944340769269
Oropharynx,F,44,0,0.16594122767276898
Oropharynx,F,45,0,0.19106646372527192
Oropharynx,F,46,0,0.21839796757625216
Oropharynx,F,47,0,0.2480354466987206
Oropharynx,F,48,0,0.28000746923073483
Oropharynx,F,49,0,0.3142563303049118
Oropharynx,F,50,0,0.35068025795699714
Oropharynx,F,51,0,0.38906907461628293
Oropharynx,F,52,0,0.42913118890897683
Oropharynx,F,53,0,0.4704304376183474
Oropharynx,F,54,0,0.5124674077715344
Oropharynx,F,55,1,0.5545777887412504
Oropharynx,F,56,3,0.5959647134084475
Oropharynx,F,57,0,0.6361838951983665
Oropharynx,F,58,0,0.674946015640086
Oropharynx,F,59,0,0.7121098483328774
Oropharynx,F,60,1,0.7472990722444314
Oropharynx,F,61,0,0.7799997841011003
Oropharynx,F,62,3,0.8096561647596134
Oropharynx,F,63,1,0.8356954713123276
Oropharynx,F,64,2,0.8578924179386477
Oropharynx,F,65,1,0.8762933779563947
Oropharynx,F,66,1,0.8910341758707686
Oropharynx,F,67,2,0.9024192329530507
Oropharynx,F,68,0,0.9108237692068419
Oropharynx,F,69,0,0.916718379603287
Oropharynx,F,70,1,0.9205203200289268
Oropharynx,F,71,2,0.9223692088730986
Oropharynx,F,72,0,0.9224618666055424
Oropharynx,F,73,0,0.9210854693879844
Oropharynx,F,74,1,0.9184691225026949
Oropharynx,F,75,2,0.9145644761268793
Oropharynx,F,76,1,0.9093614615708682
Oropharynx,F,77,0,0.9030641024430167
Oropharynx,F,78,1,0.8958915177559504
Oropharynx,F,79,0,0.8879121599430374
Oropharynx,F,80,2,0.8791084220002711
Oropharynx,F,81,2,0.8694429956694175
Oropharynx,F,82,0,0.8589645131461648
Oropharynx,F,83,1,0.8480243766407966
Oropharynx,F,84,0,0.8368686542087314
Oropharynx,M,10,0,-0.0014062662847498855
Oropharynx,M,11,0,8.149542861489277e-4
Oropharynx,M,12,0,0.003038323268067283
Oropharynx,M,13,0,0.005264808524718131
Oropharynx,M,14,0,0.007487886079384745
Oropharynx,M,15,0,0.00969562836104733
Oropharynx,M,16,0,0.01186112528877372
Oropharynx,M,17,0,0.01394326593266253
Oropharynx,M,18,0,0.01587462954079896
Oropharynx,M,19,0,0.017573432338688313
Oropharynx,M,20,0,0.018925120746445583
Oropharynx,M,21,0,0.01979212769489818
Oropharynx,M,22,0,0.019984876418341874
Oropharynx,M,23,0,0.019310029723804314
Oropharynx,M,24,0,0.01752163096092739
Oropharynx,M,25,1,0.01422865053748315
Oropharynx,M,26,0,0.009759336323753734
