Age,Gender,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
  69 Year,Male,23550,23455,21699,20229,19566,19595,18939,17739,17616,11910,9284,11374,9863,9741,11254,11164,10615,8867,7591,7878,8764,7880,7832,7629,7283,7402,7198,6881,6738,6210,5942,5621,5376,5431,5054,5021,4701,4668,4574,4212,4314,4154,4322,4369,4367
  70 Year,Male,23047,21506,20053,18868,19220,18654,17422,17246,11696,9093,11120,9631,9484,10984,10921,10408,8666,7425,7671,8486,7657,7320,7397,7030,7151,6970,6659,6535,6022,5736,5415,5155,5180,4808,4815,4470,4480,4411,4073,4140,3977,4121,4169,4145,3897
  71 Year,Male,21092,19780,18694,18538,18289,17051,16911,11444,8889,10889,9411,9268,10729,10660,10131,8476,7246,7466,8255,7433,7085,6855,6781,6892,6796,6406,6328,5834,5510,5207,4910,4926,4583,4580,4301,4285,4241,3918,3925,3823,3945,3980,3925,3693,3325
  72 Year,Male,19427,18467,18302,17574,16677,16493,11169,8664,10636,9182,9017,10427,10368,9837,8257,7047,7227,7988,7209,6831,6666,6242,6615,6516,6166,6093,5596,5306,4962,4659,4671,4336,4346,4083,4114,4048,3761,3742,3646,3741,3788,3697,3466,3142,3161
  73 Year,Male,18051,18089,17307,15936,16087,10866,8427,10394,8973,8767,10137,10077,9551,8024,6822,6982,7700,6942,6594,6401,6026,6004,6210,5889,5881,5355,5099,4735,4379,4403,4091,4099,3839,3880,3875,3597,3547,3485,3566,3600,3501,3247,2964,2959,2597
  74 Year,Male,17641,17007,15682,15421,10546,8170,10100,8715,8497,9848,9753,9260,7758,6630,6756,7444,6669,6363,6141,5756,5715,5634,5618,5584,5128,4868,4506,4113,4120,3845,3850,3606,3631,3662,3408,3360,3310,3353,3388,3293,3038,2769,2748,2447,2227
  75 Year,Male,16584,15348,15073,10039,7909,9806,8472,8214,9545,9413,8949,7510,6390,6528,7123,6416,6113,5886,5522,5467,5316,4575,5290,4874,4647,4279,3840,3813,3582,3564,3370,3384,3421,3211,3158,na,na,na,na,na,na,na,na,na,2025
  76 Year,Male,14884,14714,9814,7550,9487,8218,7915,9232,9088,8599,7255,6172,6295,6809,6104,5850,5590,5279,5202,5057,4458,4191,4627,4374,4041,3577,3538,3361,3292,3136,3175,3165,2994,2923,2964,na,na,na,na,na,na,na,na,na,1672
  77 Year,Male,14240,9564,7347,9039,7900,7659,8919,8731,8288,6994,5900,6023,6524,5806,5558,5317,4999,4906,4800,4242,4078,3509,4118,3796,3304,3274,3129,3033,2873,2934,2941,2745,2711,2736,2764,na,na,na,na,na,na,na,na,na,1583
  78 Year,Male,9236,7098,8745,7467,7322,8537,8366,7974,6674,5668,5779,6217,5533,5275,5005,4763,4641,4526,4032,3833,3411,3087,3544,3114,3005,2876,2783,2627,2698,2671,2522,2502,2516,2561,2678,na,na,na,na,na,na,na,na,na,1347
